rng,seed,final_val_loss,final_val_accuracy,final_train_loss,generalisation_gap,epochs_to_threshold,wall_clock_seconds,weight_hash
lorenz,1000,0.1203238532,0.9720000000,0.0568425076,0.0634813456,1,1.1600,73781bccf9b748131439a79babe07c1b3dfe68933451af70398c239b5614671e
lorenz,1001,0.1205845433,0.9700000000,0.0575573343,0.0630272090,1,1.1585,862080f3bbb5969daac2b41d6f183f23a4d06fb8369d7aca7fdc4b481010cb97
lorenz,1002,0.1105767660,0.9720000000,0.0587124531,0.0518643129,1,1.1573,7f0a331fb88f8cb3035c37f41f393dd338b0c97e5fad91c971d4b7dbaa4903a3
lorenz,1003,0.1258512399,0.9660000000,0.0663336745,0.0595175654,1,1.1561,fb6b2f430331de101971bcd51b3a5a22ec4d3bc0031da84a6d1b1f210c341e03
lorenz,1004,0.1461707883,0.9660000000,0.0654358611,0.0807349272,1,1.1586,dc8c39a0760d07a69bebf6fe9c84f69caa3af53f867035a27c050c197e8f76ed
lorenz,1005,0.1225336903,0.9680000000,0.0593746433,0.0631590471,1,1.1543,9d73ba5844c8e2f5f9daaf803619f52b237362007232cb01615bc89f14c8af3f
lorenz,1006,0.1232482208,0.9700000000,0.0569691735,0.0662790472,1,1.1564,37c91a7c501dd4698f4021c4943acec1e467e06bd4730a5fd98cba05ca15a8cf
lorenz,1007,0.1147529029,0.9660000000,0.0550838786,0.0596690243,1,1.1582,4f4b26fe959434e45d70ad6304180fb364f9f339b8eddee1ecffefca09294c83
lorenz,1008,0.1151505121,0.9680000000,0.0554127862,0.0597377260,1,1.1567,20994c2b131dce53944f9b18678479f9168cd315ec9c821c428069a4786dd126
lorenz,1009,0.1252202835,0.9740000000,0.0667041481,0.0585161354,1,1.1564,1e03d4ed6ee911cb0b3e1e4dafd49d45dad0cfbc087410604299da75b779beef
chacha8,1000,0.1316245132,0.9680000000,0.0596210954,0.0720034178,1,0.3882,6258a78d39f5fcb88bf2f6f794b6eb6ce0dbc9a0459050ff3b1b1780da157822
chacha8,1001,0.1216143560,0.9600000000,0.0599442600,0.0616700961,1,0.3908,a569ae63cb176fa3dea4e54d700aa1a903d227e402ed6ff03545f263ddc5dfd6
chacha8,1002,0.1142530298,0.9720000000,0.0558249607,0.0584280691,1,0.3867,b94e87be0cd7e60af09af940a55a4c597c19a1633fbeb68b23c0532b21d4d845
chacha8,1003,0.1240710760,0.9700000000,0.0566214611,0.0674496149,1,0.3908,a6417b8742acb22e39165b6787c1dc70e10f7c49ff13364d998a72fa65bf1b15
chacha8,1004,0.1134389820,0.9680000000,0.0555993545,0.0578396275,1,0.3882,27236e6dcb679eac99d290ed33e40c0c86a986113ca44596863cc083c6bb3364
chacha8,1005,0.1129860837,0.9720000000,0.0563594609,0.0566266228,1,0.3877,b53e97e643c81cb74f7a81d6dec5d771cd35b1657692ae92fa2c61eaf0e0038f
chacha8,1006,0.1211282570,0.9720000000,0.0586158416,0.0625124154,1,0.3916,855235bb51b90c8120f2449937855d443e3376b9dbb2ec772ef9dac30eac50ff
chacha8,1007,0.1189198901,0.9660000000,0.0577467736,0.0611731165,1,0.3912,11d78fe5ee092515872ac0df6a2ab487f23db797fc48605244d2c6ed5598917e
chacha8,1008,0.1189160559,0.9680000000,0.0600068436,0.0589092123,1,0.3906,92383ddff659f188d36a555946c95a1ffa2a3d4dee9d87e33ad4ec6504cbd3de
chacha8,1009,0.1114890957,0.9700000000,0.0569393444,0.0545497513,1,0.3902,f03ecb78e564b7c3479413e13ee2e7fe96684267817f14119fba27817860ead5
